scene_idx,n_present,no_interpenetration,stable_rest,ik_reachable,rrt_solvable,accepted,min_signed_distance_m,max_pose_drift_trans_m,max_pose_drift_rot_rad,rrt_seed,elapsed_s,error
415,5,1,1,1,0,0,0.197505,0.000020,0.000091,415,5.3257,
416,2,1,1,1,0,0,0.445595,0.000013,0.000515,416,5.2407,
417,5,1,1,0,0,0,0.163783,0.000021,0.000236,417,0.4100,
418,6,1,1,0,0,0,0.117760,0.000021,0.000236,418,0.3839,
419,6,1,1,1,0,0,0.014618,0.003629,0.000287,419,5.3937,
420,2,1,1,1,0,0,0.213353,0.003629,0.000163,420,5.2381,
421,4,1,1,1,0,0,0.007587,0.000021,0.000236,421,5.2812,
422,3,1,1,1,0,0,0.072192,0.003629,0.000163,422,5.2461,
423,3,1,1,1,1,1,0.178841,0.003629,0.000163,423,0.2741,
424,7,1,1,1,0,0,0.069685,0.003629,0.000646,424,5.3895,
425,7,1,1,1,0,0,0.070786,0.003629,0.000163,425,5.4051,
426,5,1,1,1,1,1,0.138158,0.003629,0.000236,426,0.3393,
427,5,0,0,0,0,0,0.000373,,,427,0.0060,
428,8,1,1,1,0,0,0.037586,0.000021,0.000964,428,5.4325,
429,2,1,1,1,0,0,0.431787,0.000012,0.000365,429,5.2227,
430,8,1,1,1,1,1,0.048348,0.003629,0.000518,430,0.4478,
431,7,1,1,1,0,0,0.067905,0.003629,0.000407,431,5.4113,
432,7,1,1,0,0,0,0.052000,0.003629,0.000163,432,0.5189,
433,6,1,1,1,0,0,0.074370,0.003629,0.000163,433,5.3589,
434,4,1,1,1,1,1,0.157471,0.003629,0.000236,434,0.2944,
435,4,1,1,1,0,0,0.107397,0.003629,0.000236,435,5.2803,
436,3,1,1,1,0,0,0.068601,0.000010,0.000017,436,5.2409,
437,1,1,1,1,1,1,inf,0.000010,0.000000,437,0.1510,
438,5,1,1,1,0,0,0.052506,0.003629,0.000498,438,5.3309,
439,3,1,1,1,0,0,0.274136,0.003629,0.000163,439,5.2341,
440,7,1,1,1,0,0,0.031266,0.003629,0.000236,440,5.3621,
441,7,1,1,1,1,1,0.103906,0.000011,0.000182,441,0.4296,
442,3,1,1,0,0,0,0.355131,0.003629,0.000163,442,0.2349,
443,5,1,1,1,0,0,0.104059,0.000011,0.000091,443,5.3004,
444,2,1,1,1,0,0,0.036560,0.000021,0.000236,444,5.2179,
445,3,1,1,1,0,0,0.173680,0.003629,0.000163,445,5.2240,
446,8,1,1,1,0,0,0.010854,0.000021,0.000438,446,5.4463,
447,8,1,1,0,0,0,0.008808,0.000021,0.000236,447,0.4319,
448,7,1,1,1,0,0,0.040184,0.003629,0.000236,448,5.3608,
449,3,1,1,0,0,0,0.126270,0.000021,0.000236,449,0.2498,
450,6,1,1,1,0,0,0.150561,0.003629,0.000699,450,5.3593,
451,1,1,1,1,0,0,inf,0.000010,0.000017,451,5.1737,
452,5,0,0,0,0,0,-0.012082,,,452,0.0056,
453,1,1,1,1,0,0,inf,0.003629,0.000163,453,5.1665,
454,8,1,1,1,0,0,0.045217,0.003629,0.000163,454,5.4283,
455,5,1,1,1,1,1,0.132516,0.000021,0.000236,455,0.3335,
456,8,1,1,1,0,0,0.150916,0.003629,0.000194,456,5.3800,
457,7,1,1,1,1,1,0.101047,0.003629,0.000238,457,0.3880,
458,6,1,1,1,1,1,0.037330,0.000021,0.000236,458,0.3845,
459,8,1,1,1,1,1,0.016896,0.003629,0.000163,459,0.3926,
460,7,1,1,1,0,0,0.085843,0.000012,0.000253,460,5.3526,
461,6,1,1,1,1,1,0.087075,0.000012,0.000334,461,0.3897,
462,3,1,1,0,0,0,0.042172,0.003629,0.000163,462,0.2978,
463,3,1,1,1,0,0,0.363942,0.000024,0.000283,463,5.2563,
464,4,1,1,1,0,0,0.106277,0.000011,0.001010,464,5.3158,
465,6,1,1,1,0,0,0.158076,0.003629,0.000515,465,5.3712,
466,5,1,1,1,1,1,0.044137,0.000021,0.000580,466,0.3877,
467,4,1,1,1,0,0,0.110854,0.000011,0.000091,467,5.2668,
468,8,1,1,1,0,0,0.048855,0.000021,0.000236,468,5.3935,
469,7,1,1,0,0,0,0.004799,0.003629,0.000163,469,0.3820,
470,2,1,1,1,1,1,0.325504,0.000014,0.000091,470,0.3129,
471,6,1,1,1,1,1,0.041999,0.003629,0.000686,471,0.3915,
472,1,1,1,1,1,1,inf,0.000010,0.000000,472,0.1463,
473,3,1,1,1,1,1,0.212155,0.000021,0.000236,473,0.3165,
474,3,1,1,1,1,1,0.415820,0.000011,0.000156,474,0.2860,
475,5,1,1,0,0,0,0.018070,0.003629,0.000676,475,0.3382,
476,5,1,1,1,0,0,0.056304,0.000021,0.000236,476,5.3550,
477,2,1,1,1,1,1,0.321507,0.000021,0.000236,477,0.2506,
478,4,1,1,1,1,1,0.443394,0.000012,0.000111,478,0.3127,
479,5,1,1,1,0,0,0.060374,0.000013,0.000080,479,5.3257,
480,5,0,0,0,0,0,-0.023288,,,480,0.0062,
481,7,1,1,1,1,1,0.049953,0.003629,0.000236,481,0.4427,
